kepid,kepoi_name,koi_pdisposition,koi_period,koi_period_err1,koi_period_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2
7040629,671.01,CANDIDATE,4.228652170,1.0750000e-05,-1.0750000e-05,1.49,0.06,0.04,1.227,0.028,-0.026,1.197,0.050,-0.064
7040629,671.02,CANDIDATE,7.466620680,3.4110000e-05,-3.4110000e-05,1.35,0.06,0.05,1.227,0.028,-0.026,1.197,0.050,-0.064
7040629,671.04,CANDIDATE,11.131790100,8.2700000e-05,-8.2700000e-05,1.21,0.05,0.06,1.227,0.028,-0.026,1.197,0.050,-0.064
7040629,671.03,CANDIDATE,16.259519670,9.8710000e-05,-9.8710000e-05,1.41,0.06,0.06,1.227,0.028,-0.026,1.197,0.050,-0.064
7047922,1899.02,CANDIDATE,10.522637400,1.8330000e-04,-1.8330000e-04,1.17,0.28,0.12,1.267,0.039,-0.038,1.082,0.076,-0.083
7047922,1899.01,CANDIDATE,19.761692470,6.9830000e-05,-6.9830000e-05,3.04,0.19,0.48,1.267,0.039,-0.038,1.082,0.076,-0.083
7050989,312.01,CANDIDATE,11.578909260,1.7930000e-05,-1.7930000e-05,2.35,0.06,0.08,1.487,0.030,-0.031,1.179,0.067,-0.086
7050989,312.02,CANDIDATE,16.399264610,3.3730000e-05,-3.3730000e-05,2.21,0.08,0.06,1.487,0.030,-0.031,1.179,0.067,-0.086
7100673,4032.02,CANDIDATE,2.892239980,1.6160000e-05,-1.6160000e-05,0.77,0.05,0.03,1.169,0.026,-0.026,0.969,0.067,-0.065
7100673,4032.01,CANDIDATE,3.951166350,1.6920000e-05,-1.6920000e-05,0.91,0.04,0.04,1.169,0.026,-0.026,0.969,0.067,-0.065
7100673,4032.04,CANDIDATE,5.101106660,2.3550000e-05,-2.3550000e-05,0.93,0.05,0.03,1.169,0.026,-0.026,0.969,0.067,-0.065
7100673,4032.03,CANDIDATE,5.992732650,2.3570000e-05,-2.3570000e-05,0.99,0.03,0.07,1.169,0.026,-0.026,0.969,0.067,-0.065
7100673,4032.05,CANDIDATE,7.235242210,4.5860000e-05,-4.5860000e-05,0.89,0.06,0.04,1.169,0.026,-0.026,0.969,0.067,-0.065
7102227,1360.03,CANDIDATE,0.764017553,3.7670000e-06,-3.7670000e-06,0.83,0.04,0.07,0.726,0.019,-0.020,0.747,0.036,-0.038
7102227,1360.02,CANDIDATE,14.589324290,4.3400000e-05,-4.3400000e-05,2.23,0.36,0.20,0.726,0.019,-0.020,0.747,0.036,-0.038
7102227,1360.01,CANDIDATE,36.770493500,1.2850000e-04,-1.2850000e-04,2.72,0.54,0.13,0.726,0.019,-0.020,0.747,0.036,-0.038
7102316,2028.02,CANDIDATE,37.055172600,2.6080000e-04,-2.6080000e-04,3.04,0.39,0.49,0.805,0.035,-0.032,0.827,0.047,-0.053
7102316,2028.01,CANDIDATE,57.248851800,3.2400000e-04,-3.2400000e-04,3.04,0.18,0.13,0.805,0.035,-0.032,0.827,0.047,-0.053
7102316,2028.03,CANDIDATE,142.545000000,2.7460000e-03,-2.7460000e-03,2.40,0.17,0.13,0.805,0.035,-0.032,0.827,0.047,-0.053
7106173,3083.02,CANDIDATE,6.232123300,1.2500000e-04,-1.2500000e-04,0.63,0.03,0.09,1.126,0.021,-0.020,1.149,0.041,-0.055
